name,recclass,mass,fall,year,reclat,reclong
Ramlat as Sahmah 297,L6,706.9,Found,2009,20.667480,55.317150
Sayh al Uhaymir 514,L5,1145.1,Found,2009,20.712820,57.121620
Sayh al Uhaymir 515,H4,549.9,Found,2009,20.727220,57.107420
Sayh al Uhaymir 499,H5,15900,Found,2009,20.764670,57.269670
Ramlat as Sahmah 309,Brachinite,1435.43,Found,2009,20.765800,55.435870
Ramlat as Sahmah 310,H3-6,1223.2,Found,2009,20.783080,55.443270
Sayh al Uhaymir 501,H6,954,Found,2009,20.785330,57.268670
Ramlat as Sahmah 283,H4,447.7,Found,2009,20.787770,56.471120
Ramlat as Sahmah 312,H6,472.7,Found,2009,20.798200,55.471480
Ramlat as Sahmah 320,L6,1002.3,Found,2009,20.872800,55.427730
Ramlat as Sahmah 319,H5,948.4,Found,2009,20.881870,55.434520
Ramlat as Sahmah 318,L5,1172.4,Found,2009,20.893350,55.493600
Ramlat as Sahmah 316,L5,2706,Found,2009,20.894850,55.506130
Sayh al Uhaymir 512,H4-5,1606.9,Found,2009,20.906230,56.948850
Sayh al Uhaymir 524,L6,1485.7,Found,2009,21.037120,57.231100
Umm as Samim 009,L6,3989,Found,2009,21.064930,56.481880
Sayh al Uhaymir 508,H6,373.9,Found,2009,21.200070,56.735500
Sayh al Uhaymir 506,H4-5,356.7,Found,2009,21.254520,56.503000
Sayh al Uhaymir 507,L6,665.7,Found,2009,21.289980,56.580920
Umm as Samim 014,H4,1713.8,Found,2009,21.373870,56.313650
Umm as Samim 011,H4,790.5,Found,2009,21.376030,56.291120
Umm as Samim 012,H4,1354.8,Found,2009,21.380150,56.290830
Gebel Kamil,Iron ungrouped,1.6e+06,Found,2009,22.018330,26.087780
United Arab Emirates 018,H5,540,Found,2009,22.795060,55.207750
Al Huwaysah 002,LL6,690.5,Found,2009,22.798530,55.316730
Al Huwaysah 001,LL6,3150.5,Found,2009,22.804870,55.327420
Northwest Africa 7370,Diogenite-olivine,2290,Found,2009,22.833330,-6.183330
Northwest Africa 7449,L6,405,Found,2009,24.133330,-13.166670
Tieret 001,H6,602,Found,2009,30.748190,10.210170
Ash Creek,L6,9500,Fell,2009,31.805000,-97.010000
Whetstone Mountains,H5,2138.74,Fell,2009,31.961850,-110.434183
Bouanane,L6,1395,Found,2009,31.983330,-3.200000
Galleta Flat,H4,392,Found,2009,32.004150,-110.375030
Deming,H5,784,Found,2009,32.225480,-107.904590
Chandler,L6,350.4,Found,2009,33.245580,-111.896330
Camp Creek,H4,3016,Found,2009,33.880980,-111.785580
Imlay,L5,770,Found,2009,40.740180,-118.172850
Javorje,Iron IIIAB,4920,Found,2009,46.162440,14.191660
Jesenice,L6,3667,Fell,2009,46.421370,14.052170
Romashki,L6,3400,Found,2009,50.285330,46.699670
Thiel Mountains 08005,H5,511,Found,2008,-85.387000,-87.115830
Santa Lucia (2008),L6,4000,Fell,2008,-31.535556,-68.489444
Camel Donga 053,LL5-6,579,Found,2008,-30.316670,126.616670
San Juan 015,L6,349,Found,2008,-25.444500,-69.867000
San Juan 023,H5,539,Found,2008,-25.443000,-69.871833
San Juan 029,H3,399,Found,2008,-25.441833,-69.871000
San Juan 025,H5,419,Found,2008,-25.372000,-69.899500
Stockyard Creek,H5,2700,Found,2008,-23.255560,116.900830
